Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code
HSFE5017J0097,HSHQDC12D00012,0,0,DO Delivery Order,"$37,610.00 ",14-Sep-17,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,NATIONAL CONTINUITY SECTION(CON50),P,7050,INFORMATION TECHNOLOGY COMPONENTS,541519,OTHER COMPUTER RELATED SERVICES,SAN DIEGO,CA,921102930,,,MDC5LDZKQAM4,MDC5LDZKQAM4,BLUE TECH INC.,BLUE TECH INC.,0CL10
70FA3018F00000719,GS35F025DA,P00005,0,DO Delivery Order,"$215,315.52 ",2-Aug-20,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7035,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,RESTON,VA,20190,NONE,NONE OF THE ABOVE,EFAJMASTF3J7,FYLAKMN93AK5,HEWLETT PACKARD ENTERPRISE COMPANY,HEWLETT PACKARD ENTERPRISE COMPANY,7ES51
70FA3018F00000719,GS35F025DA,P00007,0,DO Delivery Order,"$7,045.79 ",29-Sep-21,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7035,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,RESTON,VA,20190,NONE,NONE OF THE ABOVE,EFAJMASTF3J7,FYLAKMN93AK5,HEWLETT PACKARD ENTERPRISE COMPANY,HEWLETT PACKARD ENTERPRISE COMPANY,7ES51
70FA3018F00000719,GS35F025DA,P00006,0,DO Delivery Order,"$9,554.54 ",10-Mar-21,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7035,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,RESTON,VA,20190,NONE,NONE OF THE ABOVE,EFAJMASTF3J7,FYLAKMN93AK5,HEWLETT PACKARD ENTERPRISE COMPANY,HEWLETT PACKARD ENTERPRISE COMPANY,7ES51
70FBR523F00000038,HSHQDC12D00011,0,0,DO Delivery Order,"$3,896.99 ",6-Jun-23,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,REGION 5 : EMERGENCY PREPAREDNESS A,P,7B21,IT AND TELECOM - COMPUTE: MAINFRAME (HARDWARE AND PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,HOLLYWOOD,FL,330201018,NONE,NONE OF THE ABOVE,EKKWWBTNLLL5,EKKWWBTNLLL5,C & C INTERNATIONAL COMPUTERS & CONSULTANTS  INC,"C & C INTERNATIONAL COMPUTERS & CONSULTANTS, INC.",3EHX3
70FA5019F00000027,HSHQDC12D00012,0,0,DO Delivery Order,"$72,826.00 ",27-Mar-19,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,NATIONAL CONTINUITY SECTION(CON50),P,7050,INFORMATION TECHNOLOGY COMPONENTS,541519,OTHER COMPUTER RELATED SERVICES,SAN DIEGO,CA,921102930,NONE,NONE OF THE ABOVE,MDC5LDZKQAM4,MDC5LDZKQAM4,BLUE TECH INC.,BLUE TECH INC.,0CL10
70FBR919F00000161,HSHQDC13D00006,0,0,DO Delivery Order,"$1,602.00 ",25-Jun-19,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,REGION 9: EMERGENCY PREPAREDNESS AN,P,7050,INFORMATION TECHNOLOGY COMPONENTS,541519,OTHER COMPUTER RELATED SERVICES,WILLIAMSBURG,VA,231852989,NONE,NONE OF THE ABOVE,MYLZB6JV3EP9,MYLZB6JV3EP9,SDV SOLUTIONS  INC.,"SDV SOLUTIONS, INC.",30KC6
70FBR122F00000037,HSHQDC13D00022,0,0,DO Delivery Order,"$59,769.34 ",12-Aug-22,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,REGION 1: EMERGENCY PREPAREDNESS AN,P,7C20,IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,RESTON,VA,201905373,NONE,NONE OF THE ABOVE,JMVMGGNJGA29,JMVMGGNJGA29,GOVPLACE,GOVPLACE,1G9R3
70FBR820F00000045,HSHQDC13D00022,0,0,DO Delivery Order,"$27,574.39 ",28-Aug-20,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,REGION 8 : EMERGENCY PREPAREDNESS A,P,7050,INFORMATION TECHNOLOGY COMPONENTS,541519,OTHER COMPUTER RELATED SERVICES,RESTON,VA,201905373,NONE,NONE OF THE ABOVE,JMVMGGNJGA29,JMVMGGNJGA29,GOVPLACE,GOVPLACE,1G9R3
70FA3018F00000564,GS35F025DA,0,0,DO Delivery Order,"$5,533.92 ",31-Jul-18,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,S,J070,MAINT/REPAIR/REBUILD OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,RESTON,VA,20190,NONE,NONE OF THE ABOVE,EFAJMASTF3J7,FYLAKMN93AK5,HEWLETT PACKARD ENTERPRISE COMPANY,HEWLETT PACKARD ENTERPRISE COMPANY,7ES51
70FA4023F00000394,GS35F025DA,0,0,DO Delivery Order,"$1,014.28 ",7-Aug-23,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,SUPPORT SERVICES SECTION(SS40),S,DB10,IT AND TELECOM - COMPUTE AS A SERVICE: MAINFRAME/SERVERS,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,RESTON,VA,201905856,NONE,NONE OF THE ABOVE,EFAJMASTF3J7,FYLAKMN93AK5,HEWLETT PACKARD ENTERPRISE COMPANY,HEWLETT PACKARD ENTERPRISE COMPANY,7ES51
70FA3018F00000518,HSHQDC13D00019,0,0,DO Delivery Order,"$400,080.54 ",21-Jun-18,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7050,INFORMATION TECHNOLOGY COMPONENTS,541519,OTHER COMPUTER RELATED SERVICES,SAN DIEGO,CA,921102930,NONE,NONE OF THE ABOVE,MDC5LDZKQAM4,MDC5LDZKQAM4,BLUE TECH INC.,BLUE TECH INC.,0CL10
70FA3018F00000620,HSHQDC13D00019,0,0,DO Delivery Order,"$17,890.79 ",7-Aug-18,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7050,INFORMATION TECHNOLOGY COMPONENTS,541519,OTHER COMPUTER RELATED SERVICES,SAN DIEGO,CA,921102930,NONE,NONE OF THE ABOVE,MDC5LDZKQAM4,MDC5LDZKQAM4,BLUE TECH INC.,BLUE TECH INC.,0CL10
70FA5019F00000070,HSHQDC13D00019,0,0,DO Delivery Order,"$220,000.00 ",4-Jun-19,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,NATIONAL CONTINUITY SECTION(CON50),P,7050,INFORMATION TECHNOLOGY COMPONENTS,541519,OTHER COMPUTER RELATED SERVICES,SAN DIEGO,CA,921102930,NONE,NONE OF THE ABOVE,MDC5LDZKQAM4,MDC5LDZKQAM4,BLUE TECH INC.,BLUE TECH INC.,0CL10
70FA4021F00000191,GS35F025DA,0,0,DO Delivery Order,"$199,719.06 ",31-Aug-21,22-Aug-21,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,SUPPORT SERVICES SECTION(SS40),S,DB10,IT AND TELECOM - COMPUTE AS A SERVICE: MAINFRAME/SERVERS,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,RESTON,VA,20190,NONE,NONE OF THE ABOVE,EFAJMASTF3J7,FYLAKMN93AK5,HEWLETT PACKARD ENTERPRISE COMPANY,HEWLETT PACKARD ENTERPRISE COMPANY,7ES51
70FA4021F00000191,GS35F025DA,P00001,0,DO Delivery Order,$0.00 ,29-Sep-21,22-Aug-21,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,SUPPORT SERVICES SECTION(SS40),S,DB10,IT AND TELECOM - COMPUTE AS A SERVICE: MAINFRAME/SERVERS,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,RESTON,VA,20190,NONE,NONE OF THE ABOVE,EFAJMASTF3J7,FYLAKMN93AK5,HEWLETT PACKARD ENTERPRISE COMPANY,HEWLETT PACKARD ENTERPRISE COMPANY,7ES51
70FBR821F00000037,HSHQDC13D00019,0,0,DO Delivery Order,"$328,000.00 ",1-Sep-21,11-Aug-21,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,REGION 8 : EMERGENCY PREPAREDNESS A,P,7B22,IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,SAN DIEGO,CA,921102930,NONE,NONE OF THE ABOVE,MDC5LDZKQAM4,MDC5LDZKQAM4,BLUE TECH INC.,BLUE TECH INC.,0CL10
70FBR524F00000038,HSHQDC12D00010,0,0,DO Delivery Order,"$3,813.06 ",8-Jul-24,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,REGION 5 : EMERGENCY PREPAREDNESS A,P,7B22,IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,SANTA FE,NM,875054040,NONE,NONE OF THE ABOVE,TK17ZGD5YNA9,TK17ZGD5YNA9,WILDFLOWER INTERNATIONAL  LTD.,"WILDFLOWER INTERNATIONAL, LTD.",079R2
70FBR522F00000025,HSHQDC13D00019,0,0,DO Delivery Order,"$5,665.00 ",31-May-22,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,REGION 5 : EMERGENCY PREPAREDNESS A,P,7F20,IT AND TELECOM - IT MANAGEMENT TOOLS/PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,SAN DIEGO,CA,921102930,NONE,NONE OF THE ABOVE,MDC5LDZKQAM4,MDC5LDZKQAM4,BLUE TECH INC.,BLUE TECH INC.,0CL10
70FA3022F00000288,HSHQDC13D00019,0,0,DO Delivery Order,"$281,990.85 ",28-Jun-22,3-Jun-22,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,SAN DIEGO,CA,921102930,NONE,NONE OF THE ABOVE,MDC5LDZKQAM4,MDC5LDZKQAM4,BLUE TECH INC.,BLUE TECH INC.,0CL10
70FBR819F00000039,GS35F025DA,P00001,0,DO Delivery Order,$0.00 ,6-Sep-19,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,REGION 8 : EMERGENCY PREPAREDNESS A,S,D320,IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,RESTON,VA,20190,NONE,NONE OF THE ABOVE,EFAJMASTF3J7,FYLAKMN93AK5,HEWLETT PACKARD ENTERPRISE COMPANY,HEWLETT PACKARD ENTERPRISE COMPANY,7ES51
