Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code
HSFEMW05P0143,,P00001,0,PO Purchase Order,$0.00 ,18-May-05,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,EMERTGENCY PREPAREDNESS AND RESPONSE,P,,,,,GATHERSBURG,,,,,NVT2M9NE3NV8,NVT2M9NE3NV8,IBM PRODUCTS UNITED STATES,LENOVO INC,
HSFEMW06P0191,,0,0,PO Purchase Order,$0.00 ,18-May-06,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,EMERTGENCY PREPAREDNESS AND RESPONSE,P,7050,ADP COMPONENTS,334111,ELECTRONIC COMPUTER MANUFACTURING,ARMONK,NY,105041783,,,NVT2M9NE3NV8,NVT2M9NE3NV8,IBM PRODUCTS UNITED STATES,LENOVO (UNITED STATES) INCORPORATED,
HSFEMW06P0273,,0,0,PO Purchase Order,$0.00 ,30-Aug-06,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,EMERTGENCY PREPAREDNESS AND RESPONSE,P,7050,ADP COMPONENTS,334119,OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,ARMONK,NY,105041783,,,NVT2M9NE3NV8,NVT2M9NE3NV8,IBM PRODUCTS UNITED STATES,LENOVO (UNITED STATES) INCORPORATED,
70FA4024F00000196,HSHQDC13D00017,0,0,DO Delivery Order,"$120,818.00 ",4-Apr-24,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,SUPPORT SERVICES SECTION(SS40),P,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,ROCKVILLE,MD,208521741,NONE,NONE OF THE ABOVE,JEANDJTZ8HJ3,QMSEC7DE98U6,FCN  INC.,FCN INC,0WU14
70FA4023F00000228,HSHQDC13D00017,0,0,DO Delivery Order,"$107,672.65 ",19-Apr-23,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,SUPPORT SERVICES SECTION(SS40),P,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,ROCKVILLE,MD,208521741,NONE,NONE OF THE ABOVE,JEANDJTZ8HJ3,QMSEC7DE98U6,FCN  INC.,FCN INC,0WU14
HSFE3012J0007,HSHQDC07D00020,0,0,DO Delivery Order,"$159,561.39 ",28-Aug-12,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7030,ADP SOFTWARE,541519,OTHER COMPUTER RELATED SERVICES,GAINESVILLE,GA,305077457,,,KNDAEKSMLLE4,KNDAEKSMLLE4,ALL POINTS LOGISTICS  INC.,ALL POINTS LOGISTICS INCORPORATED,
70FA3019F00000048,HSHQDC13D00017,0,0,DO Delivery Order,"$132,118.24 ",31-Oct-18,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7050,INFORMATION TECHNOLOGY COMPONENTS,541519,OTHER COMPUTER RELATED SERVICES,ROCKVILLE,MD,208521827,NONE,NONE OF THE ABOVE,JEANDJTZ8HJ3,JEANDJTZ8HJ3,FCN  INC.,"FCN, INC.",0WU14
HSFE3016J0615,HSHQDC12D00015,0,0,DO Delivery Order,"$149,871.41 ",31-Aug-16,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7050,INFORMATION TECHNOLOGY COMPONENTS,541519,OTHER COMPUTER RELATED SERVICES,WASHINGTON,DC,200024288,,,E7RRWZMHYG13,E7RRWZMHYG13,AKIRA TECHNOLOGIES  INC,"AKIRA TECHNOLOGIES, INC",
HSFEMW09F0338,GS35F0065P,0,0,DO Delivery Order,"$18,188.83 ",16-Jun-09,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,MT. WEATHER SECTION,P,7035,ADP SUPPORT EQUIPMENT,541519,OTHER COMPUTER RELATED SERVICES,FREMONT,CA,945390301,,,ZEN6PBX53NK1,ZEN6PBX53NK1,PROVISTA SOFTWARE INTERNATIONAL  INC.,PROVISTA SOFTWARE INTL INCORPORATED,1SPN2
70FA3019F00000715,HSHQDC13D00017,P00001,0,DO Delivery Order,"$135,590.86 ",10-Oct-19,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7030,INFORMATION TECHNOLOGY SOFTWARE,541519,OTHER COMPUTER RELATED SERVICES,ROCKVILLE,MD,208521827,NONE,NONE OF THE ABOVE,JEANDJTZ8HJ3,JEANDJTZ8HJ3,FCN  INC.,"FCN, INC.",0WU14
